年份,淡水RAS产量t,淡水总产量,比率,海水RAS产量,海水总产量,比率
2003,82307,17742734,0.463891303,36863,12533061,0.294126072
2004,93091,18919972,0.492025041,51109,13167049,0.388158349
2005,124915,20084654,0.621942504,78122,13847847,0.564145459
2006,125717,21483105,0.585190083,85718,14456399,0.592941576
2007,134459,19709906,0.682189961,87362,13073400,0.668242385
2008,133680,20724977,0.64501881,83250,13403236,0.621118661
2009,158946,22164606,0.717116289,102804,14052220,0.731585472
2010,167235,23456343,0.712962801,114594,14823008,0.773081955
2011,164357,24719338,0.664892401,131292,15513292,0.846319401
2012,203917,26445448,0.771085444,158916,16438105,0.966753771
2013,208129,28024349,0.742672024,177413,17392453,1.020057378
2014,197429,29357591,0.672497277,170338,18126481,0.939719077
2015,203433,30622735,0.664320153,190686,18756277,1.016651652
2016,175688,28778881,0.610475439,205082,19153079,1.070752123
2017,189380,29052930,0.651844754,240154,20006973,1.200351497
2018,213463,29598384,0.721198157,255366,20312206,1.257204658
2019,266405,30137441,0.88396689,275875,20653287,1.335743797
2020,302620,30888912,0.979704303,325308,21353076,1.523471372
2021,324157,31832676,1.018315268,355751,22111374,1.608904992
